input,answers,number_options,preds,probs
"Pilihlah kelanjutan dari kalimat berikut yang benar!

Setiap bulan ibu-ibu RT 2 mengadakan arisan Arisan diadakan di minggu terakhir Arisan kali ini, rumah Bu Mira yang terpilih untuk menjadi tuan rumah Bu Mira menyiapkan hidangan untuk arisan nanti
A. Semua hidangan itu untuk dimakan keluarganya
B. Ia menyiapkan berbagai kue tradisional dan nasi kotak
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Zira adalah siswa yang kompetitif Ia selalu ingin menjadi yang terbaik Ia selalu berusaha unggul di bidang akademik maupun non akademik Remaja itu bekerja keras dengan belajar dan mengikuti berbagai kegiatan ekstrakurikuler
A. Jika ada siswa yang lebih baik Zira akan memarahinya
B. Kegigihan Zira menjadi panutan bagi teman seusianya
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Jay tengah menekuni budidaya jamur Ia tertarik setelah menemukan jamur unik ketika karyawisata Ia memanfaatkan tempat kosong di halaman rumahnya untuk budidaya jamur Jamur yang ia kembangkan adalah jamur yang dapat di konsumsi
A. Ia jadi gatal-gatal karena jamur
B. Jamur yang ia budidayakan diolah menjadi keripik yang lezat
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Sudah lumrah jika setiap Jumat, pemuda-pemuda sekitar bergegas untuk menghadiri sholat Jumat Tidak hanya anak-anak, tetapi juga semua pekerja kantoran berhenti sejenak untuk menghadiri sholat Jumat. Tapi kini semua berubah, dan sudah 4 bulan lamanya. Sejak COVID-19 melanda, sholat jumat ditiadakan.
A. Sholat Jumat diganti dengan sholat Dzuhur di rumah masing-masing
B. Karena satu dan lain hal sholat Jumat tetap diadakan minggu ini
Jawaban: ",0,2,A,[0.992    0.008064]
"Pilihlah kelanjutan dari kalimat berikut yang benar!

Setiap bulan ibu-ibu RT 2 mengadakan arisan Arisan diadakan di minggu terakhir Arisan kali ini, rumah Bu Mira yang terpilih untuk menjadi tuan rumah Bu Mira menyiapkan hidangan untuk arisan nanti
A. Semua hidangan itu untuk dimakan keluarganya
B. Ia menyiapkan berbagai kue tradisional dan nasi kotak
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Zira adalah siswa yang kompetitif Ia selalu ingin menjadi yang terbaik Ia selalu berusaha unggul di bidang akademik maupun non akademik Remaja itu bekerja keras dengan belajar dan mengikuti berbagai kegiatan ekstrakurikuler
A. Jika ada siswa yang lebih baik Zira akan memarahinya
B. Kegigihan Zira menjadi panutan bagi teman seusianya
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Jay tengah menekuni budidaya jamur Ia tertarik setelah menemukan jamur unik ketika karyawisata Ia memanfaatkan tempat kosong di halaman rumahnya untuk budidaya jamur Jamur yang ia kembangkan adalah jamur yang dapat di konsumsi
A. Ia jadi gatal-gatal karena jamur
B. Jamur yang ia budidayakan diolah menjadi keripik yang lezat
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Annie memiliki 5 pasang kaos kaki Annie memiliki 3 pasang kaos kaki warrna hitam Annie memiliki 2 pasang kaos kaki warna putih Annie tidak memiliki kaos kaki lainnya
A. Annie hanya memiliki kaos kaki warna putih dan hitam
B. Annie memiliki kaos kaki warna merah dan hijau
Jawaban: ",0,2,A,[0.991   0.00828]
"Pilihlah kelanjutan dari kalimat berikut yang benar!

Setiap bulan ibu-ibu RT 2 mengadakan arisan Arisan diadakan di minggu terakhir Arisan kali ini, rumah Bu Mira yang terpilih untuk menjadi tuan rumah Bu Mira menyiapkan hidangan untuk arisan nanti
A. Semua hidangan itu untuk dimakan keluarganya
B. Ia menyiapkan berbagai kue tradisional dan nasi kotak
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Zira adalah siswa yang kompetitif Ia selalu ingin menjadi yang terbaik Ia selalu berusaha unggul di bidang akademik maupun non akademik Remaja itu bekerja keras dengan belajar dan mengikuti berbagai kegiatan ekstrakurikuler
A. Jika ada siswa yang lebih baik Zira akan memarahinya
B. Kegigihan Zira menjadi panutan bagi teman seusianya
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Jay tengah menekuni budidaya jamur Ia tertarik setelah menemukan jamur unik ketika karyawisata Ia memanfaatkan tempat kosong di halaman rumahnya untuk budidaya jamur Jamur yang ia kembangkan adalah jamur yang dapat di konsumsi
A. Ia jadi gatal-gatal karena jamur
B. Jamur yang ia budidayakan diolah menjadi keripik yang lezat
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Andi terbangun dari tidurnya Andi melihat jam yang menunjukkan bahwa sudah lewat tengah malam Andi berjalan menuju kamar mandi Andi mendengar suara lirih ibunya
A. Ibu Andi memanjatkan doa kepada Tuhan ketika lewat tengah malam
B. Andi memilih untuk kembali melanjutkan tidurnya
Jawaban: ",0,2,A,[0.806  0.1938]
"Pilihlah kelanjutan dari kalimat berikut yang benar!

Setiap bulan ibu-ibu RT 2 mengadakan arisan Arisan diadakan di minggu terakhir Arisan kali ini, rumah Bu Mira yang terpilih untuk menjadi tuan rumah Bu Mira menyiapkan hidangan untuk arisan nanti
A. Semua hidangan itu untuk dimakan keluarganya
B. Ia menyiapkan berbagai kue tradisional dan nasi kotak
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Zira adalah siswa yang kompetitif Ia selalu ingin menjadi yang terbaik Ia selalu berusaha unggul di bidang akademik maupun non akademik Remaja itu bekerja keras dengan belajar dan mengikuti berbagai kegiatan ekstrakurikuler
A. Jika ada siswa yang lebih baik Zira akan memarahinya
B. Kegigihan Zira menjadi panutan bagi teman seusianya
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Jay tengah menekuni budidaya jamur Ia tertarik setelah menemukan jamur unik ketika karyawisata Ia memanfaatkan tempat kosong di halaman rumahnya untuk budidaya jamur Jamur yang ia kembangkan adalah jamur yang dapat di konsumsi
A. Ia jadi gatal-gatal karena jamur
B. Jamur yang ia budidayakan diolah menjadi keripik yang lezat
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Linda menyambut Nenek dengan gembira. Sudah lama Linda tidak bertemu Nenek. Linda sampai lupa kapan terakhir berkumpul bersama Nenek. Padahal Linda senang sekali jika Nenek datang ke rumah.
A. Nenek selalu punya hal-hal menarik yang akan diceritakan kepada Linda setiap kali Nenek berkunjung.
B. Nenek selalu pulang lebih cepat daripada biasanya.
Jawaban: ",0,2,A,[0.994    0.005913]
"Pilihlah kelanjutan dari kalimat berikut yang benar!

Setiap bulan ibu-ibu RT 2 mengadakan arisan Arisan diadakan di minggu terakhir Arisan kali ini, rumah Bu Mira yang terpilih untuk menjadi tuan rumah Bu Mira menyiapkan hidangan untuk arisan nanti
A. Semua hidangan itu untuk dimakan keluarganya
B. Ia menyiapkan berbagai kue tradisional dan nasi kotak
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Zira adalah siswa yang kompetitif Ia selalu ingin menjadi yang terbaik Ia selalu berusaha unggul di bidang akademik maupun non akademik Remaja itu bekerja keras dengan belajar dan mengikuti berbagai kegiatan ekstrakurikuler
A. Jika ada siswa yang lebih baik Zira akan memarahinya
B. Kegigihan Zira menjadi panutan bagi teman seusianya
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Jay tengah menekuni budidaya jamur Ia tertarik setelah menemukan jamur unik ketika karyawisata Ia memanfaatkan tempat kosong di halaman rumahnya untuk budidaya jamur Jamur yang ia kembangkan adalah jamur yang dapat di konsumsi
A. Ia jadi gatal-gatal karena jamur
B. Jamur yang ia budidayakan diolah menjadi keripik yang lezat
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Rayap di lemari buku Eki sama sekali tidak terlihat pada awalnya. Eki mengira bukunya aman disimpan di dalam lemari. Tampak depan lemari terlihat baik-baik saja, tidak ada kayu yang keropos. Ternyata rayap masuk dari bagian belakang lemari.
A. Eki tidak bisa menyelamatkan buku-bukunya yang telah dimakan rayap.
B. Eki berkeinginan untuk memelihara rayap-rayap tersebut.
Jawaban: ",0,2,A,[0.9717  0.02878]
"Pilihlah kelanjutan dari kalimat berikut yang benar!

Setiap bulan ibu-ibu RT 2 mengadakan arisan Arisan diadakan di minggu terakhir Arisan kali ini, rumah Bu Mira yang terpilih untuk menjadi tuan rumah Bu Mira menyiapkan hidangan untuk arisan nanti
A. Semua hidangan itu untuk dimakan keluarganya
B. Ia menyiapkan berbagai kue tradisional dan nasi kotak
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Zira adalah siswa yang kompetitif Ia selalu ingin menjadi yang terbaik Ia selalu berusaha unggul di bidang akademik maupun non akademik Remaja itu bekerja keras dengan belajar dan mengikuti berbagai kegiatan ekstrakurikuler
A. Jika ada siswa yang lebih baik Zira akan memarahinya
B. Kegigihan Zira menjadi panutan bagi teman seusianya
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Jay tengah menekuni budidaya jamur Ia tertarik setelah menemukan jamur unik ketika karyawisata Ia memanfaatkan tempat kosong di halaman rumahnya untuk budidaya jamur Jamur yang ia kembangkan adalah jamur yang dapat di konsumsi
A. Ia jadi gatal-gatal karena jamur
B. Jamur yang ia budidayakan diolah menjadi keripik yang lezat
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Hanin bekerja di Indomaret Setiap pagi dia berangkat dari rumah pukul 5 pagi Dibukanya toko dan ditatanya berbagai produk yang baru masuk Ia pulang jam 6 sore
A. Hanin bekerja dari pagi hingga sore untuk memenuhi kebutuhan sehari-hari
B. Hanin dilamar oleh seorang pengusaha kaya raya.
Jawaban: ",0,2,A,[0.998    0.002409]
"Pilihlah kelanjutan dari kalimat berikut yang benar!

Setiap bulan ibu-ibu RT 2 mengadakan arisan Arisan diadakan di minggu terakhir Arisan kali ini, rumah Bu Mira yang terpilih untuk menjadi tuan rumah Bu Mira menyiapkan hidangan untuk arisan nanti
A. Semua hidangan itu untuk dimakan keluarganya
B. Ia menyiapkan berbagai kue tradisional dan nasi kotak
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Zira adalah siswa yang kompetitif Ia selalu ingin menjadi yang terbaik Ia selalu berusaha unggul di bidang akademik maupun non akademik Remaja itu bekerja keras dengan belajar dan mengikuti berbagai kegiatan ekstrakurikuler
A. Jika ada siswa yang lebih baik Zira akan memarahinya
B. Kegigihan Zira menjadi panutan bagi teman seusianya
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Jay tengah menekuni budidaya jamur Ia tertarik setelah menemukan jamur unik ketika karyawisata Ia memanfaatkan tempat kosong di halaman rumahnya untuk budidaya jamur Jamur yang ia kembangkan adalah jamur yang dapat di konsumsi
A. Ia jadi gatal-gatal karena jamur
B. Jamur yang ia budidayakan diolah menjadi keripik yang lezat
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Lampu kamar Sofi tidak dapat menyala lagi Sofi pergi ke doktor lampu untuk membetulkannya Doktor lampu adalah sebutan tempat servis lampu di dekat rumah Sofi Lampu Sofi dapat diperbaiki seperti baru
A. Lampu kamar Sofi dapat menyala terang lagi
B. Sofi membeli lampu baru
Jawaban: ",0,2,A,[0.997    0.002672]
"Pilihlah kelanjutan dari kalimat berikut yang benar!

Setiap bulan ibu-ibu RT 2 mengadakan arisan Arisan diadakan di minggu terakhir Arisan kali ini, rumah Bu Mira yang terpilih untuk menjadi tuan rumah Bu Mira menyiapkan hidangan untuk arisan nanti
A. Semua hidangan itu untuk dimakan keluarganya
B. Ia menyiapkan berbagai kue tradisional dan nasi kotak
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Zira adalah siswa yang kompetitif Ia selalu ingin menjadi yang terbaik Ia selalu berusaha unggul di bidang akademik maupun non akademik Remaja itu bekerja keras dengan belajar dan mengikuti berbagai kegiatan ekstrakurikuler
A. Jika ada siswa yang lebih baik Zira akan memarahinya
B. Kegigihan Zira menjadi panutan bagi teman seusianya
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Jay tengah menekuni budidaya jamur Ia tertarik setelah menemukan jamur unik ketika karyawisata Ia memanfaatkan tempat kosong di halaman rumahnya untuk budidaya jamur Jamur yang ia kembangkan adalah jamur yang dapat di konsumsi
A. Ia jadi gatal-gatal karena jamur
B. Jamur yang ia budidayakan diolah menjadi keripik yang lezat
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Nyamuk yang beterbangan di sekitar kaki Vito membuatnya kesal. Fokusnya pada film di layar TV jadi teralihkan. Vito berusaha menepuk nyamuk-nyamuk di kakinya. Namun tidak ada nyamuk yang berhasil Vito tangkap.
A. Vito pun mengambil raket nyamuk di kamarnya untuk mengusir nyamuk-nyamuk yang ada.
B. Vito pun mengambil raket untuk bermain bulu tangkis.
Jawaban: ",0,2,A,[0.949  0.0513]
"Pilihlah kelanjutan dari kalimat berikut yang benar!

Setiap bulan ibu-ibu RT 2 mengadakan arisan Arisan diadakan di minggu terakhir Arisan kali ini, rumah Bu Mira yang terpilih untuk menjadi tuan rumah Bu Mira menyiapkan hidangan untuk arisan nanti
A. Semua hidangan itu untuk dimakan keluarganya
B. Ia menyiapkan berbagai kue tradisional dan nasi kotak
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Zira adalah siswa yang kompetitif Ia selalu ingin menjadi yang terbaik Ia selalu berusaha unggul di bidang akademik maupun non akademik Remaja itu bekerja keras dengan belajar dan mengikuti berbagai kegiatan ekstrakurikuler
A. Jika ada siswa yang lebih baik Zira akan memarahinya
B. Kegigihan Zira menjadi panutan bagi teman seusianya
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Jay tengah menekuni budidaya jamur Ia tertarik setelah menemukan jamur unik ketika karyawisata Ia memanfaatkan tempat kosong di halaman rumahnya untuk budidaya jamur Jamur yang ia kembangkan adalah jamur yang dapat di konsumsi
A. Ia jadi gatal-gatal karena jamur
B. Jamur yang ia budidayakan diolah menjadi keripik yang lezat
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Mixa tidak mau kehilangan Heri Heri berjanji tidak akan meninggalkan Mixa Heri akan selalu berada di sisi Mixa Mixa kembali tenang dan tidak khawatir lagi
A. Heri menepati janjinya
B. Mixa menyuruh Heri untuk pergi
Jawaban: ",0,2,A,[0.9883   0.011284]
"Pilihlah kelanjutan dari kalimat berikut yang benar!

Setiap bulan ibu-ibu RT 2 mengadakan arisan Arisan diadakan di minggu terakhir Arisan kali ini, rumah Bu Mira yang terpilih untuk menjadi tuan rumah Bu Mira menyiapkan hidangan untuk arisan nanti
A. Semua hidangan itu untuk dimakan keluarganya
B. Ia menyiapkan berbagai kue tradisional dan nasi kotak
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Zira adalah siswa yang kompetitif Ia selalu ingin menjadi yang terbaik Ia selalu berusaha unggul di bidang akademik maupun non akademik Remaja itu bekerja keras dengan belajar dan mengikuti berbagai kegiatan ekstrakurikuler
A. Jika ada siswa yang lebih baik Zira akan memarahinya
B. Kegigihan Zira menjadi panutan bagi teman seusianya
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Jay tengah menekuni budidaya jamur Ia tertarik setelah menemukan jamur unik ketika karyawisata Ia memanfaatkan tempat kosong di halaman rumahnya untuk budidaya jamur Jamur yang ia kembangkan adalah jamur yang dapat di konsumsi
A. Ia jadi gatal-gatal karena jamur
B. Jamur yang ia budidayakan diolah menjadi keripik yang lezat
Jawaban: B

Pilihlah kelanjutan dari kalimat berikut yang benar!

Balapan karung menjadi lomba yang ditunggu-tunggu Fenita setiap tanggal 17 Agustus. Bukannya Fenita suka mengikuti lomba balap karung. Fenita suka menontonnya. Terlebih ketika yang bermain adalah anak-anak kecil.
A. Fenita akan tertawa senang menyaksikan keseruan anak-anak kecil yang berlari memakai karung.
B. Fenita akan tertawa senang jika memenangi lomba balap karung.
Jawaban: ",0,2,A,[0.99     0.010056]
